t,a_w,a_b,a_w_next,a_b_next,y,w_w,w_b,n_w,n_b,h_w,h_b,p_w_given_wparent,p_w_given_bparent,mobility_up_b_to_w,mobility_down_w_to_b
0,1.25,1.0,1.7601585479278712,1.4898414520721288,0.560848552402169,0.578653082269646,0.5423055461594204,0.512,0.488,0.5101585479278713,0.4898414520721288,0.6301364512662736,0.4196182706990124,0.410913872452334,0.38404327248140635
1,1.7601585479278712,1.4898414520721288,2.2775750916349775,1.9724249083650227,0.8114572764112552,0.8211943052186469,0.8010174245559948,0.5173333333333333,0.4826666666666667,0.5174165437071064,0.48258345629289384,0.6213384058425383,0.4104973113957664,0.3948087431693989,0.3658854166666667
2,2.2775750916349775,1.9724249083650227,2.77361733287171,2.4763826671282905,1.060593144055192,1.0964205800824314,1.025328439115773,0.497,0.503,0.49604224123673246,0.5039577587632676,0.6180629794490482,0.40713829903303805,0.3729281767955801,0.3872422680412371
3,2.77361733287171,2.4763826671282905,3.290168349621472,2.9598316503785282,1.3117897277219117,1.3153436254058144,1.3079924925933926,0.5093333333333333,0.4906666666666667,0.5165510167497623,0.4834489832502378,0.6177129048993881,0.4067804535164662,0.4049039098740888,0.38497652582159625
4,3.290168349621472,2.9598316503785282,3.7876794226931967,3.462320577306804,1.5610135639403095,1.5988937605174587,1.5235086235579007,0.49133333333333334,0.5086666666666666,0.4975110730717243,0.5024889269282758,0.6142776423322621,0.4032807717195634,0.37839673913043476,0.39986910994764396
5,3.7876794226931967,3.462320577306804,4.3025042820459785,3.9474957179540224,1.8118912921187176,1.8121864013156184,1.8115781483937818,0.518,0.482,0.5148248593527821,0.48517514064721806,0.6151111076862904,0.4041278977627796,0.4148099606815203,0.3751696065128901
6,4.3025042820459785,3.9474957179540224,4.81314461171762,4.436855388282381,2.0618291597581315,2.0708138844680004,2.05245371861322,0.5113333333333333,0.4886666666666667,0.5106403296716417,0.4893596703283585,0.6124793157717958,0.40145724700402674,0.4073305670816044,0.3918918918918919
7,4.81314461171762,4.436855388282381,5.325463505996287,4.924536494003714,2.3118576419372387,2.3152292332832975,2.308315716834731,0.517,0.483,0.5123188942786667,0.4876811057213335,0.6125398838023797,0.4015185688194919,0.42360163710777626,0.39374185136897
8,5.325463505996287,4.924536494003714,5.833254102602175,5.416745897397826,2.5617615309091795,2.57765860258928,2.5453612275889657,0.508,0.492,0.5077905966058883,0.4922094033941118,0.6119987805100653,0.40097096531146503,0.39889579020013805,0.3900709219858156
9,5.833254102602175,5.416745897397826,6.332917344844257,5.9170826551557445,2.811314631394102,2.8541289656411917,2.76855793056684,0.5013333333333333,0.4986666666666667,0.49966324224208203,0.5003367577579182,0.6121577569434774,0.4011317968675277,0.4078590785907859,0.40813648293963256
